모퉁이뜨개방with 카페  테스트 케이스,,,,,,,,,
,,,,,,,,,
29,,로딩화면 중앙에 '갈색 잎과 노란 꽃이 들어간 갈색 음료'이미지가 있는가?,,,,,,,
30,,로딩화면 중앙에 '컵에 얼음과 음료가 절반 담긴 갈색 음료'이미지가 있는가?,,,,,,,
31,,로딩화면 중앙에 '초록 잎이 많이 들어간 연두색 음료'이미지가 있는가?,,,,,,,
32,,로딩화면 중앙에 '갈색 잎과 빨간 꽃이 들어간 분홍색과 갈색이 섞인 음료'이미지가 있는가?,,,,,,,
33,,로딩화면 중앙에 '노란 잎과 얼음이 들어간 노란색 음료'이미지가 있는가?,,,,,,,
34,,로딩화면 중앙에 '얼음과 초록잎이 많이 들어간 노란색 음료'이미지가 있는가?,,,,,,,
35,,로딩화면 중앙에 '노란 잎이 들어간 노란색과 갈색이 섞인 음료'이미지가 있는가?,,,,,,,
36,,로딩화면 중앙에'하늘색 음료'이미지가 있는가?,,,,,,,
37,,말풍선 이미지 하단에 로딩 바가 있는가?,,,,,,,
38,,로딩 바 왼쪽 상단에 로딩 퍼센테이지 문구가 있는가?,,,,,,,
39,,로딩중일 시 로딩 바 게이지가 올라가는가?,,,,,,,
40,,로딩이 완료됐을 시 로딩 바 게이지가 전부 차는가?,,,,,,,
41,,로딩이 완료됐을 시 로딩 퍼센테이지 문구가 '100%'인가?,,,,,,,
42,,로딩이 완료됐을 시 계정 연결 화면으로 이동하는가?,,,,,,,
43,계정 연결,계정 연결 화면 상단에 '계정 연결' 문구가 있는가?,,,,,,,
44,,"계정 연결' 문구 하단에 '게스트로 로그인 한 경우 게임 내역이 저장되지 않습니다! 
게스트로 로그인하시겠어요?'문구가 있는가?",,,,,,,
45,,화면 중앙에 '구글로 로그인' 버튼이 있는가?,,,,,,,
46,,구글로 로그인'버튼 아래에 '페이스북으로 로그인'버튼이 있는가?,,,,,,,
47,,페이스북으로 로그인'버튼 아래에 '게스트 로그인 '문구가 있는가?,,,,,,,
48,,구글로 로그인'버튼 클릭 시 이용악관 페이지로 이동하는가?,,,,,,,
49,,페이스북으로 로그인'버튼 클릭 시 이용약관 페이지로 이동하는가?,,,,,,,
50,,게스트 로그인'문구 클릭 시 게임 저장 불가 안내 창이 나타나는가?,,,,,,,
51,,게임 저장 불가 안내 창 중앙 위에 빨간색의 느낌표 아이콘이 있는가?,,,,,,,
52,,안내 창 중앙에 '게임 저장 불가' 문구가 있는가?,,,,,,,
53,,"안내 창 중앙에 '게스트로 로그인 한 경우 게임내역이 저장되지 않습니다! 게스트로 로그인
하시겠어요?'문구가 있는가?",,,,,,,
54,,안내 창 왼쪽 하단에 '게스트로 로그인'버튼이 있는가?,,,,,,,
55,,안내 창 오른쪽 하단에 '계정 연결'버튼이 있는가?,,,,,,,
56,,안내 창 이외의 장소를 클릭했을 시 안내 창이 사라지는가?,,,,,,,
57,,계정 연결'버튼 클릭 시 안내 창이 사라지는가?,,,,,,,
58,,게스트로 로그인'버튼 클릭 시 이용약관 페이지가 나타나는가?,,,,,,,
59,,페이지 맨 위에 '이용약관' 문구가 있는가?,,,,,,,
60,,페이지 중앙에 '게임 이용약관 동의 (필수)' 문구가 있는가?,,,,,,,
61,,게임 이용약관 동의 (필수)' 문구 오른쪽에 '보기'문구가 있는가?,,,,,,,
62,,게임 이용약관 동의 (필수)' 문구 아래에 '개인정보 수집 / 이용동의 (필수)' 문구가 있는가?,,,,,,,
63,,개인정보 수집 / 이용동의 (필수)' 문구 오른쪽에 '보기'문구가 있는가?,,,,,,,
64,,개인정보 수집 / 이용동의 (필수)' 문구 아래에 '야간 알림 수신 동의 (선택)'문구가 있는가?,,,,,,,
65,,"야간 알림 수신 동의 (선택)' 문구 아래에 '플레이에 유용한 알림을 언제든 받을 수 있습니다.' 
문구가 있는가?",,,,,,,
66,,페이지 아래에 '모두 동의'문구가 있는가?,,,,,,,
67,,모두 동의' 문구 아래에 '선택을 포함한 모든 항목에 동의합니다.' 문구가 있는가?,,,,,,,
68,,선택을 포함한 모든 항목에 동의합니다' 문구 아래에 '확인' 버튼이 있는가?,,,,,,,
69,,게임 이용약관 동의 (필수)' 문구 왼쪽에 체크박스가 있는가?,,,,,,,
70,,개인정보 수집 / 이용동의(필수)' 문구 왼쪽에 체크박스가 있는가?,,,,,,,
71,,야간 알림 수신 동의 (선택)' 문구 왼쪽에 체크박스가 있는가?,,,,,,,
72,,모두 동의' 문구 왼쪽에 체크박스가 있는가?,,,,,,,
73,,"이용약관 페이지가 나타났을 시 '게임 이용약관 동의 (필수)' 문구의 체크박스가 체크되어
있는가?",,,,,,,
74,,"이용약관 페이지가 나타났을 시 '개인정보 수집 / 이용동의 (필수)' 문구의 체크박스가 체크되
어있는가?",,,,,,,
75,,이용약관 페이지가 나타났을 시 '야간 알림 수신 동의 (선택)' 문구의 체크박스가 체크되어있지않은가?,,,,,,,
76,,이용약관 페이지가 나타났을 시 '모두동의' 문구의 체크박스가 체크되어있지 않은가?,,,,,,,
77,,이용약관 페이지가 나타났을 시 '확인' 버튼이 활성화되있는가?,,,,,,,
78,,"'게임 이용약관 동의 (필수)' 문구의 체크박스가 체크된 상태에서 클릭 시 체크 상태가 
해제되는가?",,,,,,,
79,,"게임 이용약관 동의 (필수)' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 체크 상태가
 되는가?",,,,,,,
80,,"개인정보 수집 / 이용동의 (필수)' 문구의 체크박스가 체크된 상태에서 클릭 시 체크 상태가 
해제되는가?",,,,,,,
81,,"개인정보 수집 / 이용동의 (필수)' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 체크 
상태가 되는가?",,,,,,,
82,,"'야간 알림 수신 동의 (선택)' 문구의 체크박스가 체크된 상태에서 클릭 시 체크 상태가
 해제되는가?",,,,,,,
83,,"야간 알림 수신 동의 (선택)' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 체크
 상태가 되는가?",,,,,,,
84,,'모두 동의' 문구의 체크박스가 체크된 상태에서 클릭 시 체크 상태가 해제되는가?,,,,,,,
85,,모두 동의' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 체크 상태가 되는가?,,,,,,,
86,,"모두동의' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 '게임 이용약관 동의 (필수)' 
문구의 체크박스애 체크되는가?",,,,,,,
87,,"모두동의' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 '개인정보 수집 / 이용동의 
(필수)' 문구의 체크박스애 체크되는가?",,,,,,,
88,,"모두동의' 문구의 체크박스가 체크되지 않은 상태에서 클릭 시 '야간 알림 수신 동의 (선택)'
 문구의 체크박스애 체크되는가?",,,,,,,
89,,"게임 이용약관 동의 (필수)' 문구의 체크박스가 체크되있지 않을 시 '확인' 버튼이 비활성화
되는가?",,,,,,,
90,,"개인정보 수집 / 이용동의 (필수)' 문구의 체크박스가 체크되있지 않을 시 '확인' 버튼이 비활
성화되는가?",,,,,,,
91,,"게임 이용약관 동의 (필수)' 문구와 '개인정보 수집 / 이용동의 (필수)' 문구의 체크박스가 
체크되었을 시 '확인' 버튼이 활성화되는가?",,,,,,,
92,,비활성화 된 '확인' 버튼 클릭 시 하단에 '필수 동의를 모두 선택해주세요.' 문구가 나타나는가?,,,,,,,
93,,필수 동의를 모두 선택해주세요.' 문구가 나타난 후 5초 뒤 문구가 사라지는가?,,,,,,,
94,튜토리얼,활성화된 '확인' 버튼 클릭 시 튜토리얼 화면으로 이동하는가?,,,,,,,
95,,튜토리얼 화면 중앙에서 '첫출근 문구가 적힌 리본 이미지'가 나타나는가?,,,,,,,
96,,튜토리얼 화면 오른쪽 상단에 'Skip' 버튼이 있는가?,,,,,,,
97,,Skip' 버튼 클릭 시 튜토리얼 화면에서 인게임 화면으로 이동하는가?,,,,,,,
98,,튜토리얼 화면 클릭 시 스토리 만화 화면이 나타나는가?,,,,,,,
99,,화면에 '만화 컷 1' 이미지가 있는가?,,,,,,,
100,,만화 컷 1' 이미지가 있는 상태에서 화면 클릭 시 '만화 컷 2' 이미지가 나타나는가?,,,,,,,
101,,만화 컷2' 가 나타났을 시  '만화 컷 1' 이미지가 사라지는가?,,,,,,,
102,,만화 컷 2' 이미지가 있는 상태에서 화면 클릭 시 '만화 컷 3' 이미지가 나타나는가?,,,,,,,
103,,만화 컷3' 가 나타났을 시  '만화 컷 2' 이미지가 사라지는가?,,,,,,,
104,,만화 컷 3' 이미지가 있는 상태에서 화면 클릭 시 인게임 화면으로 이동하는가?,,,,,,,
105,"게임 화면

UI배치",인게임 화면에 '기본 카페 입구 배경화면'이미지가 있는가?,,,,,,,
106,,화면의 좌측 상단에 '설정' 버튼이 있는가?,,,,,,,
107,,설정' 버튼 우측에 '화면 캡쳐' 버튼이 있는가?,,,,,,,
108,,화면 캡쳐' 버튼 우측에 'SEASON PASS' 버튼이 있는가?,,,,,,,
109,,SEASON PASS' 버튼 오른쪽에 '하트 표시 바'가 있는가?,,,,,,,
110,,하트 표시 바' 우측에 '달러 표시 바'가 있는가?,,,,,,,
111,,화면의 좌측 하단에 '다이어리' 버튼이 있는가?,,,,,,,
112,,화면의 중앙 하단에  '장소 이동' 슬라이스 바가 있는가?,,,,,,,
113,,슬라이스 바 상단의 왼쪽에 '카페 밖 페이지' 버튼이 있는가?,,,,,,,
114,,카페 밖' 버튼 우측에 '물레 페이지' 버튼이 있는가?,,,,,,,
115,,물레 페이지' 버튼 우측에 '카페 안 페이지' 버튼이 있는가?,,,,,,,
116,,카페 안' 버튼 우측에 '손님 테이블 페이지' 버튼이 있는가?,,,,,,,
117,,손님 테이블' 버튼 우측에 '홀 확장' 버튼이 있는가?,,,,,,,
118,,홀 확장' 버튼 우측에 '주방' 버튼이 있는가?,,,,,,,
119,,주방' 버튼 우측에 '차 재배 페이지' 버튼이 있는가?,,,,,,,
120,,차 재배 페이지' 버튼 우측에 덖기 페이지 버튼이 있는가?,,,,,,,
121,,화면의 우측 하단에 '메뉴' 버튼이 있는가?,,,,,,,
122,,메뉴' 버튼 클릭 시 위에 '출석체크' 버튼이 나타나는가?,,,,,,,
123,,메뉴' 버튼 클릭 시 '출석체크' 버튼 아래에 '시즌 정산' 버튼이 나타나는가?,,,,,,,
124,,메뉴' 버튼 클릭 시 '시즌 정산' 버튼 아래에 '할머니의 실그릇' 버튼이 나타나는가?,,,,,,,
125,,메뉴' 버튼 클릭 시 '할머니의 실그릇' 버튼 아래에 '시즌 패스' 버튼이 나타나는가?,,,,,,,
126,,메뉴' 버튼 클릭 시 '시즌 패스' 버튼 아래에 '인테리어' 버튼이 나타나는가?,,,,,,,
127,,메뉴' 버튼 클릭 시 '인테리어' 버튼 좌측 하단에 '재료상점' 버튼이 나타나는가?,,,,,,,
128,,메뉴' 버튼 클릭 시 '재료상점' 버튼 좌측상단에 '우편함' 버튼이 나타나는가?,,,,,,,
129,,메뉴' 버튼 클릭 시 '우편함' 버튼 좌측하단에 '게임저장' 버튼이 나타나는가?,,,,,,,
130,,메뉴' 버튼 클릭 시 '게임저장' 버튼 좌측하단에 '게임 방법' 버튼이 나타나는가?,,,,,,,
131,,메뉴' 버튼 클릭 시 '게임 방법' 버튼 좌측하단에 '내 서랍' 버튼이 나타나는가?,,,,,,,
132,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '출석체크' 버튼이 사라지는가?,,,,,,,
133,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '시즌 정산' 버튼이 사라지는가?,,,,,,,
134,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '할머니의 실그릇' 버튼이 사라지는가?,,,,,,,
135,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '시즌 패스' 버튼이 사라지는가?,,,,,,,
136,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '인테리어' 버튼이 사라지는가?,,,,,,,
137,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '재료상점' 버튼이 사라지는가?,,,,,,,
138,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '우편함' 버튼이 사라지는가?,,,,,,,
139,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '게임저장' 버튼이 사라지는가?,,,,,,,
140,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '게임 방법' 버튼이 사라지는가?,,,,,,,
141,,메뉴 속 버튼이 나타난 상태에서 '메뉴'버튼 클릭 시 '내 서랍' 버튼이 사라지는가?,,,,,,,
